case_id,pipeline,end_ns,end_to_end_ms,model_batch_id,model_batch_size,model_ms,policy_ms,retrieval_ms,start_ns,validation_ms
EXT-PAIR-0083-KO,C0_DIRECT_SLM,11112896383443,11330.890250999999,batch-000016,8,11330.881433,0.0,0.001094,11101565502010,0.007724
EXT-PAIR-0085-EN,C0_DIRECT_SLM,11124198648181,11302.022638,batch-000017,8,11302.013434,0.0,0.001366,11112896634747,0.007838
EXT-PAIR-0088-EN,C0_DIRECT_SLM,11124198648181,11302.017833000002,batch-000017,8,11302.013434,0.0,0.002049,11112896634747,0.00235
EXT-PAIR-0089-EN,C0_DIRECT_SLM,11124198648181,11302.016863,batch-000017,8,11302.013434,0.0,0.001188,11112896634747,0.002241
EXT-PAIR-0091-EN,C0_DIRECT_SLM,11124198648181,11302.016759000002,batch-000017,8,11302.013434,0.0,0.00112,11112896634747,0.002205
EXT-PAIR-0091-KO,C0_DIRECT_SLM,11124198648181,11302.022976,batch-000017,8,11302.013434,0.0,0.001128,11112896634747,0.008414
EXT-PAIR-0094-EN,C0_DIRECT_SLM,11124198648181,11302.019211,batch-000017,8,11302.013434,0.0,0.001118,11112896634747,0.004659
EXT-PAIR-0096-EN,C0_DIRECT_SLM,11124198648181,11302.020242,batch-000017,8,11302.013434,0.0,0.001895,11112896634747,0.004913
EXT-PAIR-0099-KO,C0_DIRECT_SLM,11124198648181,11302.021589,batch-000017,8,11302.013434,0.0,0.001128,11112896634747,0.007027
EXT-PAIR-0104-KO,C0_DIRECT_SLM,11135440996850,11242.047542999999,batch-000018,8,11242.039146,0.0,0.001267,11124198957704,0.00713
EXT-PAIR-0109-KO,C0_DIRECT_SLM,11135440996850,11242.047747999999,batch-000018,8,11242.039146,0.0,0.001231,11124198957704,0.007371
EXT-PAIR-0115-KO,C0_DIRECT_SLM,11135440996850,11242.0428,batch-000018,8,11242.039146,0.0,0.001326,11124198957704,0.002328
EXT-PAIR-0116-KO,C0_DIRECT_SLM,11135440996850,11242.049054,batch-000018,8,11242.039146,0.0,0.001083,11124198957704,0.008825
EXT-PAIR-0117-EN,C0_DIRECT_SLM,11135440996850,11242.042569999998,batch-000018,8,11242.039146,0.0,0.001223,11124198957704,0.002201
EXT-PAIR-0121-EN,C0_DIRECT_SLM,11135440996850,11242.042615,batch-000018,8,11242.039146,0.0,0.001199,11124198957704,0.00227
